,id,ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4
23,id558318358164733,Tell Congress to include funding for vital energy assistance programs that help Michigan's seniors and low-income households in the next round of COVID-19 emergency relief. Send your message to Congress today: https://bit.ly/2YK55CB,,,,
24,id297338677939314,"With COVID-19 stimulus checks on the way, it could be open season for utility scammers. Stay alert for calls, texts, or unannounced visits by people claiming to be with your local energy provider—and don’t make any payments unless it is through your provider’s website, the mail, or by calling them directly. Remember not to click on suspicious links, too!",,,,
25,id553323138715535,"With COVID-19, more Michiganders will be struggling to make ends meet. We’re asking Congress to extend funding for the Low Income Home Energy Assistance Program (LIHEAP) to help ease their burdens. You can take action here:  https://bit.ly/2YK55CB",,,,
26,id602837243657111,Local energy providers are working around the clock to enhance the strength and resiliency of our electric grid in order to keep energy reliable throughout the COVID-19 crisis. https://bit.ly/2yAmW3S,PA,,,
27,id2875005045953358,"Give the kids a coloring activity that helps them learn how energy works at the same time. Download now: https://allianceformichiganpower.com/act/resources/

#ColorsOfEnergy",,,,
28,id889252064857868,"As many Michiganders adjust to learning and working from home, local energy providers and grid workers nationwide are working to keep energy reliable and available. Read more: https://nbcnews.to/2yyZBjd",PA,,,
29,id1158622244476622,"How many additional words can your kids make from these common energy terms? It’s time to find out. Get it here: 
https://allianceformichiganpower.com/act/resources/
#EnergyChallenge",,,,
30,id1643386559118249,See what Michigan’s local energy providers are doing to go green all year long. https://allianceformichiganpower.com/going-green-all-year-long-and-long-into-the-future/,GA,,,
31,id696970230844766,"Warmer weather is on the way – but it’s not here quite yet. Good news: if you’re working from home, you can be more flexible with your wardrobe. Turn the thermostat down to save energy costs and add additional layers like sweatshirts & blankets while you work. #LowerTheThermostat",,,,
32,id255017752336134,"With a lot of families stuck at home in response to COVID-19, many are looking for ways to keep kids entertained and learning. We’re here to help with a series of activities you can download to help kids learn about energy while having a little fun. Start with this energy word search. Download it here: https://allianceformichiganpower.com/wp-content/uploads/2020/04/AMP-Word-Search.pdf
#EnergySearch",,,,
33,id210418096919326,"Michigan’s local energy providers realize that, even without the impact of COVID-19, many seniors and low-income households need help with energy bills. Energy assistance programs help make sure income-eligible individuals and families don’t have to worry about having reliable energy. Learn more on the AMP blog:",PA,,,
34,id204771074281075,Our series of helpful tips on saving energy while you #workfromhome continues. Next up: Unplug devices not in use or relevant to your work to save energy & maximize productivity.,,,,
35,id216601176108339,"As many Michiganders continue to hunker down and #workfromhome, we’ll continue our series of helpful energy-saving tips. Here’s a good one: Plug devices into a power strip, and flip the switch to cut the power to devices not in use.",,,,
36,id216920592918006,"As many Michiganders #workfromhome to slow the spread of COVID-19, we want to provide some quick tips on saving energy that might be useful. To start, open the blinds to use natural daylight instead of turning on lights.",,,,
37,id219849572451756,"Peggy Noonan has some reassuring words as we all find ways to cope with the COVID-19 pandemic: “Everything works—and will continue to work—as long as we have electricity. It’s what keeps the lights on, the oxygen flowing, the information going. Everything is the grid, the grid, the grid.” Now more than ever, the importance of a strong, resilient electric grid cannot be overstated. http://peggynoonan.com/we-need-time-to-absorb-all-this/",PA,,,
38,id635768963914120,Michigan’s local energy providers are working to protect seniors and low-income households impacted by COVID-19. That means ensuring reliable energy without disruptions—regardless of ability to pay. Learn more on the AMP blog:,PA,,,
39,id547374832563011,"“[D]espite falling solar costs, scale still has to be factored in. And on those terms, reworking the laws to benefit solar companies or individuals might hurt those who rely on the grid as a whole.”",PA,,,
40,id1387801881408071,"From energy policy to energy efficiency, we’ve had a busy 2020 so far. See how well you’ve been following along and gear up for what looks to be an active year by testing your energy smarts. Take the AMP Michigan Energy Policy POP Quiz today!",,,,
41,id212062803372722,Our lawmakers have a choice on energy: put Michigan residents over special interests. ACT NOW.,,,,
42,id738378763233531,"Everyone benefits from the energy grid, so why should some pay less. TAKE ACTION NOW.",PA,,,
43,id649062125635758,Michigan’s local energy providers are in the top 20 nationally when it comes to efficiency and customer savings. That’s a win for all Michiganders! Learn more and SHARE if you agree!,PA,,,
44,id615146339339710,"When you don’t have a fire going, be sure to close the damper to prevent warm air from escaping up the chimney, and make sure the damper seal is snug.",,,,
45,id506874433539127,Reverse the direction of your ceiling fan blades so they run in a clockwise rotation. Making the switch will help push warm air down to keep your home more comfortable without having to crank up the heat.,,,,
46,id749266015562368,Upgrade your insulation to keep in the heat more effectively this winter. See if you or anyone you know qualifies for the free low-income Weatherization Assistance Program http://bit.ly/36FsdCM,,,,
47,id737462950115598,"On cold, windy days—which Michiganders are used to this time of year—check around your windows for air leaks. Then, fill in any gaps and replace worn caulking as needed to maximize energy efficiency and save money.",,,,
48,id2774015512923531,"To increase energy efficiency all winter long, temporarily create double panes by covering windows in plastic (bubble wrap works great) or vinyl, then tape the edges to the frame.",,,,
49,id120071972665190,"For a more efficient winter, change your HVAC air filter! Your fan motor will run more efficiently, and you’ll enjoy better air quality. You could even save you up to 7.5% a month.",,,,
50,id176412226921488,"On sunny days, open curtains and blinds to let the sun’s warmth in, and then close them at sundown to keep in the free heat as long as possible.",,,,
51,id119698352709755,A group of Michigan lawmakers introduced legislation they are calling the “Powering Michigan Forward” package to secure incentives for private solar in our state.,,,,
52,id124332862179603,"If lawmakers in Lansing make the wrong policy decisions, it could weaken investment in Michigan’s grid.",,,,
53,id164288831538477,There could be good news ahead for Michigan energy consumers.,,,,
54,id2631927550230400,"New Year’s resolutions are all about improving lives. And you can improve the life of all Michiganders with these five simple 2020 Michigan energy resolutions.
Check them out:",,,,
55,id443608213002164,"Michigan’s utilities are leading the charge in the transition to electric vehicles. Consumers Energy and DTE Energy are offering $23 million in rebates for public fast charging stations and Level 2 chargers for homes, workplaces and multifamily housing.",GA,,,
56,id459552688063270,"""Michigan’s unique geological features provide us with the greatest natural gas storage capacity in the country. This allows local energy companies to strategically buy and store natural gas in advance of the winter season when demand is high– and consumers have reaped the benefits. If things go the way it looks like they will, DTE customers should see a 6 percent decrease in their total bills this winter.""",PA,,,
57,id460342954673420,"Who knew something as simple as your curtains or blinds could help you save on your winter energy bills? On sunny days, keep them pulled back to let in the sun’s natural warmth. When the sun goes down, cover your windows to keep heat in for as long as possible. #WinterEnergyEfficiency",,,,
58,id464267367606041,"These policies will unnecessarily shift costs from some energy consumers to others, allowing a select few to avoid paying their fair share. Those who are most likely to be burdened with additional energy costs include many Michiganders who can least afford it.",PA,,,
59,id550988899080296,DTE is going beyond its commitment  of 80% carbon reduction to a new goal of reaching for “net zero” carbon emissions by 2050.,GA,,,
60,id603483363599093,It turns out the green energy movement is not so “green” after all. Join our “Planet of the Humans” Watch Party to learn more.,,,,
61,id1905934502871841,Renewable energy still leans on fossil fuels to support it. Join our “Planet of the Humans” Watch Party to learn more.,,,,
62,id244367490165207,Can green energy ever be self-reliant? Join the conversation during our “Planet of the Humans” Watch Party.,,,,
63,id539147026774259,How “green” is renewable energy? The answer might shock you. Join our “Planet of the Humans” Watch Party to learn more.,,,,
64,id279467483457295,You might be surprised to learn how much green energy still uses fossil fuels. Join our “Planet of the Humans” Watch Party to learn more.,,,,
65,id557183175223533,Fossil fuels still power renewable energy. Learn more during our “Planet of the Humans” Watch Party.,,,,
66,id267897557577496,1970: Breathing U.S. air was equivalent to smoking 2 packs of cigarettes a day. 2020: It’s now some of the cleanest in the world. Watch the video to learn more.,,,,
67,id693203008156612,"America’s air is cleaner today than it was 50 years ago. This Earth Day, let’s celebrate how far we’ve come. Watch the video to learn more.",,,,
68,id857835734729800,"Did you know America has more trees today than it did 100 years ago? This Earth Day, let’s celebrate how far we’ve come. Watch the video to learn more.",,,,
69,id1371513039724130,"The U.S. shale revolution was driven by nimble, scrappy U.S. independent oil and gas producers who ruthlessly cut costs and implemented new technologies and innovations. Now, some companies, led by the CEO’s of @PXDtweets & @Parsley_Energy, are requesting OPEC-style crude production cuts for Texas producers. Burdensome regulatory interference threatens the wildcatter spirit that transformed global markets and led to a new age of energy. Read more: https://bit.ly/3bq47iA",,,,
70,id234547374293779,Some oil company CEOs looking for bailouts are demanding Texas regulators implement OPEC-style crude production cuts. But all that would do is weaken American energy security and make our nation more vulnerable to unfriendly foreign regimes. Read more: https://bit.ly/2yqK6d6,SA,,,
71,id312163739764614,Strength of the Texas domestic oil production industry” at stake as Railroad Commission considers misguided forced-cut policy being pushed by small group of politically connected CEOs. Read more from IER’s Kenny Stein here: https://bit.ly/3bq47iA,,,,
72,id1066509263722813,"A (very) small group of politically connected CEOs are trying to get Texas to implement OPEC-style crude production cuts. If they win, American consumers lose – and our nation’s long-term energy security would be threatened. Read more: https://bit.ly/2yqK6d6",PA,,,
73,id513186972891362,"In combination with the previously finalized rule reclaiming regulatory authority from California, this rule corrects the Obama Administration’s expensive, coercive mandates, leaving businesses and consumers in control of what kind of cars to buy and sell.",,,,
74,id1260607647466133,The Trump administration’s rejection of social engineering should be applauded.,,,,
75,id205844037378359,President Trump's announcement shows regulatory reform of the Corporate Average Fuel Economy (CAFE) rule can serve as additional relief when the economy needs it the most.,,,,
76,id691593365004504,The new fuel economy rule finalized by the Trump administration recognizes the overreach of the previous Obama mandates as well as the realities of the current car market.,,,,
77,id214949483086873,"As the economy grinds to a halt, Americans are looking to leaders in Washington to fund a stimulus bill to get us back on track. So why do some want to include provisions for electric vehicles?",,,,
78,id217932912643876,Congress is debating priorities to include in a massive new stimulus bill. Potential recipients include American families and industries hardest hit by COVID-19. But among the provisions up for debate is an extension of the electric vehicle tax credit. Confused? Find out what’s going on:,,,,
79,id232590444787442,"As Americans continue to deal with COVID-19 and the fallout it’s had on our economy, leaders in Washington are supposed to be drafting a stimulus bill to get businesses up and running again. So why are some trying to include billions for unrelated issues, like electric vehicle tax credits?",,,,
80,id505462023469767,Epidemic or opportunity? Some on Capitol Hill are using the COVID-19 stimulus bill to advance unrelated projects like an expansion of electric vehicle tax credits. Will it work?,,,,
81,id384808312695356,"California oil & gas creates over 55,000 good-paying jobs in the Central Valley. Forcing oil & gas production out of the state would disproportionately hurt this region.",CB,,,
82,id268449027710516,Importing foreign oil would eliminate thousands of local jobs and cost $30 billion each year in imported oil to power California. CA's oil & gas production is vital to fueling our local economy.,SA,CA,CB,
83,id821887651899986,"In times like these, every job and dollar counts more than ever. Protect thousands of local oil & gas jobs that provide billions in state revenue for schools and first responders.",CA,CB,,
84,id328605511796939,"Environmental Engineer, Astrid knows California has the strictest environmental regulations in the world. Shutting down local oil & gas production would force us to import foreign oil that is not produced with our same standards.",SA,,,
85,id239386360832877,Shutting down local oil and gas production would force us to increase reliance on unstable foreign oil.,CB,SA,,
86,id682659275928175,Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs and increase our gas prices.,SA,PA,,
87,id979796185777519,"Retrase el 15 de septiembre voto de Plan General: Envíe un correo electrónico o llame al Supervisor Zaragoza hoy mismo para exigir que él traduzca mas de 3,000 paginas al español.",,,,
88,id330852651519349,"El Plan General Ventura nunca se tradujo al español, lo cual hace imposible que se escuchen las voces de las familias latinas. Envíe un correo electrónico al Supervisor Zaragoza hoy mismo para que los latinos tengan voz en Oxnard.",,,,
89,id765404137606896,"Ventura County’s General Plan is incomplete, error-ridden and in draft form. County officials must delay the September 1 vote until Ventura citizens are provided a complete and cohesive plan they can provide comment on.",,,,
90,id838299580035672,"Email the Board of Supervisors to vote NO on the General Plan Sept. 1st. If the plan passes, Ventura will be forced to import foreign oil that is not produced at the same stringent environmental, labor and safety standards.",SA,,,
91,id306748437245096,"Take action now to urge County Officials to vote NO on the General Plan that will hurt thousands of jobs, cut millions in county tax revenues for schools and public safety, and harm our economic recovery.",CA,CB,,
92,id719133252151045,"Protecting local oil and gas jobs, resources, and tax revenue is vital to maintaining a strong economy — now is the worst time to restrict these essential services and threaten the jobs of these workers.",CA,CB,,
93,id3079531425475777,Local oil and gas workers help Californians get through difficult times by powering vital community services like hospitals and emergency response.,PA,CB,,
94,id629426604351571,Now is the worst possible time to threaten the jobs of California oil & gas workers.,,,,
95,id1632833843558769,The CA oil and natural gas industry is developing new technologies to help lead the way to a clean energy future.,GA,,,
96,id999342437163049,California oil & gas production provides billions of dollars in vitally needed revenue for schools and first responders.,CA,,,
97,id273511090379524,"In times like these, every job counts. Support local California oil & gas production for Californians by Californians.",CB,,,
98,id2733694753528544,"Now is not the time for Ventura County to reject the local oil & gas industry supplying 2,100 high-paying jobs and $21 million annually in tax revenues that fund vital community services like schools, education and public safety.",CA,CB,,
99,id868909306927066,"Local oil and gas industry provides 2,000 jobs and generates over $50 million in tax revenues for schools, social services and public safety in Ventura County. It's now more important than ever to ensure communities have jobs and access to critical services.",,,,
100,id555850895319757,Local jobs are more important than ever. CA's oil & gas jobs help fuel the economy during this uncertain time.,CB,SA,,
101,id1540905892735549,"Now more than ever, every job counts. Support local California oil & gas production.",CB,,,
102,id582230632699734,"A politician led energy shutdown in California would force us to import more foreign oil from countries with horrible environmental records. In California, oil and gas is produced under the world's strictest environmental regulations.",SA,,,
103,id743683643043511,"California’s 55,000 oil and gas workers produce energy under the strictest environmental standards in the world. They work hard to produce reliable and affordable energy for all Californians.",CB,SA,PA,
104,id1118560741857506,"California oil and gas workers like Josh value a clean environment, safe working conditions, and protecting human rights. Shutting down existing local production would put his job and thousands more at risk.",CB,SA,,
105,id2629824233967407,"Oil & gas production is an essential part of CA's economy, providing 55,000 jobs and tax revenue for vital services.",CA,CB,,
106,id214063779679292,"Local California oil & gas production employs over 55,000 Californians.",CB,,,
107,id185882362717342,Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs while increasing our gas prices.,SA,PA,,
108,id638195966982537,"Local California oil & gas production creates over 55,000 good-paying jobs.",CB,,,
109,id2718072441641104,Sacramento agencies are restricting local energy production -- risking $300 million in tax revenues for Central Valley first responders and local schools.,,,,
110,id182440319832714,Restricting local oil and gas production would hurt the Central Valley’s way of life – through job loss and lower tax revenues for vital public services.,CA,CB,,
111,id496021644447720,"Central Valley oil & gas creates 30,000 good-paying local jobs. Don't let Sacramento shut down local production.",CB,,,
112,id213173273196416,Shutting down local oil and gas production would increase our reliance on unstable foreign oil.,CB,SA,,
113,id1169483829916282,"California oil & gas creates over 55,000 good-paying jobs for the state.",CB,,,
114,id566158380638590,"Sacramento agencies are restricting California energy production, forcing us to increase our reliance on unstable foreign oil.",SA,PA,,
115,id2582895691991369,Shutting down local oil and gas production puts thousands of good-paying California jobs at risk.,CB,SA,,
116,id414774185916413,Shutting down local California oil and gas production would further increase our cost of living.,PA,,,
117,id534359694086497,"Local oil and gas production helps provide over 55,000 jobs for Californians.",CB,,,
118,id964451957261964,Local oil and gas production ensures Californians have reliable access to the energy we need.,SA,PA,,
119,id3043256522565224,"In California, we value protecting human rights. Importing more oil from countries with horrible human rights records is not the California way.",,,,
120,id350082156175590,"🚨 🚨 Energy costs could SKYROCKET in low-income communities! 🚨 🚨 
Tell John Zaragoza to leave our energy costs alone!",PA,,,
121,id2623260171224935,"Act now for South Pasadena: https://bit.ly/ActNowSouthPasadena

The South Pasadena City Council is considering an energy ordinance that would effectively ban the use of natural gas in new homes and buildings. This move would result in higher costs and reduced energy reliability.
 
Click to tell the City Council that South Pasadena residents deserve to be able to make their voices heard in person!",PA,,,
122,id1084941141902079,"Act now for Ventura County: https://bit.ly/ActForVenturaCounty
 
The Ventura County Board of Supervisors is planning to vote on an energy ordinance that would effectively ban the use of natural gas in new homes and buildings. This move would result in higher costs and reduced energy reliability.

Click to tell the Board of Supervisors that Ventura County residents deserve to be able to make their voices heard in person before such an impactful vote!",PA,,,
123,id278288816742943,"Act now for Ventura County: https://bit.ly/ActForVenturaCounty

On July 17th, the Ventura County Board of Supervisors plans to vote on an energy ordinance that would effectively ban the use of natural gas in new homes and buildings. This move would result in higher costs and reduced energy reliability.

Click to tell the Board of Supervisors that Ventura County residents deserve to be able to make their voices heard in person before such an impactful vote!",PA,,,
124,id284194412727321,"Act now for SLO: https://bit.ly/ActForSLO
 
On June 16th, the San Luis Obispo City Council plans to vote on an energy ordinance that would effectively ban the use of natural gas in new buildings. This move could result in higher costs and reduced energy reliability. We, the residents of San Luis Obispo, are asking the city council to pause this vote until our health and economic crisis is over – SLO residents deserve to be able to make their voices heard in person!",PA,,,
125,id1132081010524874,"The gasoline we make gets people to their jobs to put food on their tables.

Now millions of people need that gas to line up at food banks.

We're proud of the role we play in helping people get what is essential,",PA,,,
126,id225929038406503,"✍️ Add your name and stand for affordable energy: http://bit.ly/ActInCulverCity
 
The Culver City City Council is considering a plan that will effectively eliminate natural gas and could cause your energy costs to skyrocket!",PA,,,
127,id881148899053137,"Maintaining a steady supply of reliable and affordable domestic energy is key to America’s national security. Advancing U.S. energy sources to meet our growing energy needs reduces our reliance on foreign energy imports and unstable, hostile regimes.

https://www.cred.org/securing-americas-energy-future/ 

#SupportEnergyIndependence",SA,PA,,
128,id1358778417648827,"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and reduce our impact to build a reliable energy future.

https://www.cred.org/explore/is-fracking-regulated/",SA,PA,,
129,id309544786710132,"The climate is changing, and we are committed to solutions that reduce the risks of climate change while providing the energy Colorado needs. Learn more about our commitment: https://www.cred.org/climate/",GC,,,
130,id878375732655604,"✅ Over $13 million donated to non-profits
✅ 600+ non-profit organizations and programs served
✅ 72,976 volunteer hours
✅ 200,000+ meals packaged and served

Check out how Colorado’s energy industry gave back to communities across the state in 2019: https://www.coga.org/cir.html",CA,,,
131,id246809349731354,American energy jobs are essential to our energy security. Tell Governor Polis to do what’s best for our country and for Colorado. We must keep fighting for American energy jobs.,CB,SA,,
132,id256567842123397,"America is energy independent thanks to U.S. oil and natural gas production. Now, that hard-earned independence is in jeopardy. The time to protect U.S. energy is now. It’s never been more important to our national security and our economy.",SA,CA,,
133,id530999800914687,"From keeping our homes and businesses warm on chilly days, to keeping the lights on and powering our stoves and water heaters, fracking is leading the way to a reliable and more affordable energy future. #SupportEnergyIndependence

https://www.cred.org/natural-gas-oil-uses/",PA,,,
134,id2557895101137393,"From start to finish, Colorado’s energy industry is committed to the safe and responsible extraction of our natural resources. Learn more about the regulations that have helped Colorado set the gold standard: https://www.cred.org/explore/is-fracking-safe/",PA,SA,,
135,id1416557028553561,"Colorado’s lakes, reservoirs, and streams make our state beautiful, nourish our wildlife, and supply our communities with water. See how state and local regulations keep Colorado healthy while ensuring we can still responsibly access our energy resources:
https://www.cred.org/climate/",,,,
136,id569492987321118,"Fracking touches almost every aspect of our lives in Colorado and across the country. But, have you ever wondered how fracking actually works? Watch to learn more:",PA,GC,,
137,id835244943651206,"ICYMI: Please join us in saying THANK YOU to all of the hard-working men and women of Colorado’s energy industry for everything they do, in good times and in bad, to power Colorado! #SupportEnergyIndependence

https://www.coga.org/thankyoucard.html",,,,
138,id666678517240418,"By harnessing domestic energy, the U.S. can pursue a foreign policy agenda from a position of strength rather than making decisions based on our energy needs. 

Learn more and see why we must #SupportEnergyIndependence: https://www.cred.org/securing-americas-energy-future/",SA,,,
139,id605820773351846,"Many countries at the forefront of global energy production don’t want America to be energy independent and will do anything to stop it. #SupportEnergyIndependence
 
https://www.forbes.com/sites/steveforbes/2020/04/01/save-americas-oil-and-gas-industry/#6051e7b17d98",SA,,,
140,id138514664233471,"For more than 70 years, Colorado has been one of the largest natural gas producers in the U.S. and a global leader in energy development, thanks to fracking. See the latest fracking studies from governmental organizations, regulators, universities, and nonprofits in Colorado: http://ow.ly/o0xv50yF57D",SA,,,
141,id218203756210693,Fracking in Colorado is about more than just energy development or turning on a light switch. It’s about supporting hundreds of thousands of jobs and billions of dollars in economic impact that touches every household in the state. Learn more: https://www.cred.org/university-of-chicago-fracking-benefits-local-economies/,CA,CB,,
142,id2513511482200402,"With some of the strictest natural gas and oil regulations in the United States, Colorado leads the way. Learn more about the innovative ways Colorado is reducing methane emissions and improving air quality: https://www.cred.org/colorado-leads-methane-emissions-regulation/",GC,,,
143,id2543269615960670,"Energy created by Colorado's oil and natural gas industry fuels our way of life. Twenty-four hours a day, the energy that powers our everyday lives is helping build stronger communities and a more vibrant future. Watch to learn more: https://www.youtube.com/watch?v=StHC3YgFSsc",PA,,,
144,id1426601687500198,"Here in Colorado, oil and natural gas unlocked by fracking powers almost every aspect of our modern lives. In addition to using oil and natural gas for cooking and generating electricity, the Colorado Energy Office says that, “nearly three quarters of Colorado households use natural gas to heat their homes.” Learn more: https://www.cred.org/natural-gas-oil-uses/",PA,,,
145,id126684295320915,"The climate is changing. And Colorado’s oil and natural gas industry is part of the solution. We are cutting emissions, restoring the land after drilling, and reducing our impact. Learn more about our commitment:",GC,,,
146,id182725359615229,Colorado's oil and natural gas industry uses science and cutting edge technology to responsibly harness reliable and affordable energy from deep underground.,PA,,,
147,id195416554865984,"When it comes to protecting our land, stringent state and local regulations keep Colorado healthy while ensuring we can still responsibly access our state’s vast energy resources. Learn more about how we are protecting the world we all share while providing the energy Colorado needs:",GA,SA,,
148,id192592372102166,"In Colorado, we’re deeply proud of our land. We’re proud of the communities we’ve built on it, proud of its beauty, and proud of the natural resources that power our state. 

Our oil and natural gas industry works to provide clean energy today as we help build a sustainable, reliable energy future.",GC,PA,,
149,id1367498036771789,"Colorado's oil and natural gas industry works to provide clean energy today as we help build sustainable, reliable energy for our communities tomorrow.

It's not the easiest balancing act, but this is the only way to get from where we are to where we all hope to go.",GC,PA,,
150,id2526824517535904,"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. 

Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and provide clean energy today as we help build a sustainable, reliable energy future.",SA,PA,GC,
151,id554023881862187,"Fracking touches almost every aspect of our lives in Colorado. From keeping our homes and businesses warm on chilly days, to keeping the lights on and powering our stoves and water heaters, fracking is leading the way to a reliable and more affordable energy future.

https://www.cred.org/natural-gas-oil-uses/",PA,,,
152,id593138624843289,"""U.S. CO2 emissions are at their lowest levels in a generation, mostly thanks to more natural gas...as reported by the U.S. Department of Energy.""

See how #fracking and natural gas are walking the walk to reduce emissions (via Forbes) https://www.forbes.com/sites/judeclemente/2020/12/31/president-obamas-support-for-americas-shale-oil-and-natural-gas/#b1d777a18830",GC,,,
153,id769650286771942,"From start to finish, Colorado’s energy industry is committed to the safe and responsible extraction of our natural resources. Learn more about the regulations that have helped Colorado set the gold standard: http://ow.ly/3kGC50xSpou",PA,SA,,
